unnamed;company;typename;inches;screen_resolution;cpu;ram;memory;gpu;opsys;weight; price ;px_width;px_height;clock_speed;cpu_brand;gpu_brand;ssd_capacity;hdd_capacity;ssd_count;hdd_count;flash_storage;cpu_details;ips_panel;touch_screen;resolution;ppi_whole;resolution (1);name;aspect_ratio;quality_rank
0;Apple;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;128GB SSD;Intel Iris Plus Graphics 640;Mac Os;1.37; $71378.68. ;2560;1600;2.3;Intel;Intel;128;0;1;1;0;Core i5;1;0;2560 x 1600;227;2560 x 1600;WQXGA (Wide Quad Extended Graphics Array);16:10;High
1;Apple;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8;128GB Flash Storage;Intel HD Graphics 6000;Mac Os;1.34; $47895.52. ;1440;900;1.8;Intel;Intel;128;0;1;1;0;Core i5;0;0;1440 x 900;128;1440 x 900;WXGA+;16:10;Lower-Mid
2;HP;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;No OS;1.86; $30636.. ;1920;1080;2.5;Intel;Intel;256;0;1;1;0;Core i5 7200U;0;0;1920 x 1080;141;1920 x 1080;Full HD (1080p);16:09;Mid
3;Apple;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16;512GB SSD;AMD Radeon Pro 455;Mac Os;1.83; $135195.34. ;2880;1800;2.7;Intel;AMD;512;0;1;1;0;Core i7;1;0;2880 x 1800;221;2880 x 1800;Retina Display (Common in MacBook Pros);16:10;Very High
4;Apple;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 3.1GHz;8;256GB SSD;Intel Iris Plus Graphics 650;Mac Os;1.37; $96095.81. ;2560;1600;3.1;Intel;Intel;256;0;1;1;0;Core i5;1;0;2560 x 1600;227;2560 x 1600;WQXGA (Wide Quad Extended Graphics Array);16:10;High
5;Acer;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4;500GB HDD;AMD Radeon R5;Windows;2.10; $21312.. ;1366;768;3.0;AMD;AMD;0;512;0;1;0;A9-Series 9420;0;0;1366 x 768;100;1366 x 768;HD Ready;16:09;Lower
6;Apple;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.2GHz;16;256GB Flash Storage;Intel Iris Pro Graphics;Mac Os;2.04; $114017.6. ;2880;1800;2.2;Intel;Intel;256;0;1;1;0;Core i7;1;0;2880 x 1800;221;2880 x 1800;Retina Display (Common in MacBook Pros);16:10;Very High
7;Apple;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8;256GB Flash Storage;Intel HD Graphics 6000;Mac Os;1.34; $61735.54. ;1440;900;1.8;Intel;Intel;256;0;1;1;0;Core i5;0;0;1440 x 900;128;1440 x 900;WXGA+;16:10;Lower-Mid
8;Asus;Ultrabook;14.0;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Nvidia GeForce MX150;Windows;1.30; $79653.6. ;1920;1080;1.8;Intel;Nvidia;512;0;1;1;0;Core i7 8550U;0;0;1920 x 1080;157;1920 x 1080;Full HD (1080p);16:09;Mid
9;Acer;Ultrabook;14.0;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows;1.60; $41025.6. ;1920;1080;1.6;Intel;Intel;256;0;1;1;0;Core i5 8250U;1;0;1920 x 1080;157;1920 x 1080;Full HD (1080p);16:09;Mid
