"variable","corr_clock_speed","corr_flash_storage","corr_hdd_capacity","corr_hdd_count","corr_inches","corr_ips_panel","corr_ppi_whole","corr_price","corr_px_height","corr_px_width","corr_ram","corr_ssd_capacity","corr_ssd_count","corr_touch_screen","corr_weight"
"clock_speed",1,-0.35354679807030037,0.13657531143613935,0.027738818104273717,0.2982242021337414,0.07794116412566794,0.04374876369396013,0.4246221901470209,0.16768595731621982,0.18153281373688038,0.3308439724596524,0.2365631887529951,0.24892525158362905,-0.08673347266159508,0.30804425007491987
"flash_storage",-0.35354679807030037,1,-0.156185432574857,0.007671691311848758,-0.29410356758292605,-0.020899780911485793,0.008997061806363213,-0.20770958269554204,-0.09119072295382243,-0.1053912688304741,-0.1691679962559382,-0.2041619790880379,-0.2783957486998576,0.07112807351871182,-0.20408916279010247
"hdd_capacity",0.13657531143613935,-0.156185432574857,1,0.05536831432469384,0.5294528661624295,-0.0982803466334317,-0.2959525515962438,-0.09726160189554717,-0.13688361349695416,-0.12479259425618712,0.08043064322294677,-0.4227382670253489,-0.45284617627281715,-0.2126177649284009,0.5256180035473453
"hdd_count",0.027738818104273717,0.007671691311848758,0.05536831432469384,1,-0.010099755957274281,-0.004463496308858396,0.001553590053314536,-0.030108071122948242,-0.001226198666173854,-0.0019406252534934902,-0.07804825745026892,-0.06638671563610578,-0.1575250591793469,-0.020008563286022536,-0.05993919751994753
"inches",0.2982242021337414,-0.29410356758292605,0.5294528661624295,-0.010099755957274281,1,-0.10910814172680203,-0.4171994510992496,0.06546175572470211,-0.09439826713848624,-0.07086040573372393,0.2005421516680359,-0.13263731267138207,-0.11046502627173041,-0.3506129391259383,0.8027701881291679
"ips_panel",0.07794116412566794,-0.020899780911485793,-0.0982803466334317,-0.004463496308858396,-0.10910814172680203,1,0.3050050098200039,0.25982886039527453,0.2956695103608923,0.2885631568042443,0.2202722673410948,0.2514761541802063,0.24237334548663791,0.15013025742524466,0.019548597667486938
"ppi_whole",0.04374876369396013,0.008997061806363213,-0.2959525515962438,0.001553590053314536,-0.4171994510992496,0.3050050098200039,1,0.4758807044327004,0.9381962274341358,0.9302767956216145,0.29340505321009336,0.5272665005046545,0.38879833905535144,0.4505892908562879,-0.3164315566820206
"price",0.4246221901470209,-0.20770958269554204,-0.09726160189554717,-0.030108071122948242,0.06546175572470211,0.25982886039527453,0.4758807044327004,1,0.5548793569714183,0.55844711403142,0.6849760851617597,0.677746184075601,0.5214969432135184,0.19004688576992707,0.20866059623297217
"px_height",0.16768595731621982,-0.09119072295382243,-0.13688361349695416,-0.001226198666173854,-0.09439826713848624,0.2956695103608923,0.9381962274341358,0.5548793569714183,1,0.9941444246975946,0.39950249152218975,0.5342395275063458,0.3920129659062342,0.35067940167364875,-0.05356919986481601
"px_width",0.18153281373688038,-0.1053912688304741,-0.12479259425618712,-0.0019406252534934902,-0.07086040573372393,0.2885631568042443,0.9302767956216145,0.55844711403142,0.9941444246975946,1,0.40795628889557384,0.5382388753951265,0.3936133306946835,0.34411579963591205,-0.03266148240557846
"ram",0.3308439724596524,-0.1691679962559382,0.08043064322294677,-0.07804825745026892,0.2005421516680359,0.2202722673410948,0.29340505321009336,0.6849760851617597,0.39950249152218975,0.40795628889557384,1,0.5694508396064463,0.3829992482015872,0.09723047782962296,0.33023799698100204
"ssd_capacity",0.2365631887529951,-0.2041619790880379,-0.4227382670253489,-0.06638671563610578,-0.13263731267138207,0.2514761541802063,0.5272665005046545,0.677746184075601,0.5342395275063458,0.5382388753951265,0.5694508396064463,1,0.7269378672103545,0.2380150676775843,-0.0782746005401995
"ssd_count",0.24892525158362905,-0.2783957486998576,-0.45284617627281715,-0.1575250591793469,-0.11046502627173041,0.24237334548663791,0.38879833905535144,0.5214969432135184,0.3920129659062342,0.3936133306946835,0.3829992482015872,0.7269378672103545,1,0.13582544016753742,-0.052619598130469666
"touch_screen",-0.08673347266159508,0.07112807351871182,-0.2126177649284009,-0.020008563286022536,-0.3506129391259383,0.15013025742524466,0.4505892908562879,0.19004688576992707,0.35067940167364875,0.34411579963591205,0.09723047782962296,0.2380150676775843,0.13582544016753742,1,-0.2836063431164066
"weight",0.30804425007491987,-0.20408916279010247,0.5256180035473453,-0.05993919751994753,0.8027701881291679,0.019548597667486938,-0.3164315566820206,0.20866059623297217,-0.05356919986481601,-0.03266148240557846,0.33023799698100204,-0.0782746005401995,-0.052619598130469666,-0.2836063431164066,1
